team1,team2,score1,score2
SkellefteaSKE,FarjestadFBK,4,2
MoraMIK,DjurgardenDIF,5,3
BrynasBIF,RogleRBK,1,4
LuleaLHF,VaxjoVLH,2,3
MalmoMIF,OrebroORE,2,3
FrolundaFHC,TimraTIK,4,5
TimraTIK,LinkopingLHC,3,4
MalmoMIF,SkellefteaSKE,3,2
FrolundaFHC,RogleRBK,2,3
MoraMIK,LuleaLHF,4,7
OrebroORE,HV71HV71,1,3
DjurgardenDIF,VaxjoVLH,4,2
FarjestadFBK,BrynasBIF,3,4
LuleaLHF,TimraTIK,1,2
SkellefteaSKE,FrolundaFHC,3,5
BrynasBIF,OrebroORE,3,4
RogleRBK,DjurgardenDIF,2,1
VaxjoVLH,MoraMIK,5,2
LinkopingLHC,FarjestadFBK,5,4
HV71HV71,MalmoMIF,3,1
MoraMIK,SkellefteaSKE,3,1
OrebroORE,RogleRBK,5,3
DjurgardenDIF,HV71HV71,0,2
FarjestadFBK,VaxjoVLH,3,2
TimraTIK,BrynasBIF,3,2
MalmoMIF,LinkopingLHC,2,3
FrolundaFHC,LuleaLHF,5,3
MoraMIK,DjurgardenDIF,3,2
OrebroORE,SkellefteaSKE,2,4
BrynasBIF,VaxjoVLH,3,1
HV71HV71,FarjestadFBK,4,3
MalmoMIF,LuleaLHF,4,0
FrolundaFHC,TimraTIK,3,2
LuleaLHF,MoraMIK,5,2
SkellefteaSKE,LinkopingLHC,6,2
RogleRBK,BrynasBIF,0,4
VaxjoVLH,MalmoMIF,3,1
FarjestadFBK,OrebroORE,4,3
TimraTIK,FrolundaFHC,2,4
DjurgardenDIF,HV71HV71,3,2
LuleaLHF,DjurgardenDIF,4,1
MoraMIK,HV71HV71,2,1
OrebroORE,MalmoMIF,1,3
BrynasBIF,TimraTIK,5,1
RogleRBK,SkellefteaSKE,4,1
LinkopingLHC,FarjestadFBK,0,1
FrolundaFHC,VaxjoVLH,1,0
BrynasBIF,LinkopingLHC,2,5
DjurgardenDIF,SkellefteaSKE,3,2
VaxjoVLH,TimraTIK,2,1
FarjestadFBK,LuleaLHF,1,0
MalmoMIF,RogleRBK,2,1
OrebroORE,FrolundaFHC,7,1
HV71HV71,MoraMIK,6,0
HV71HV71,VaxjoVLH,4,2
SkellefteaSKE,BrynasBIF,0,2
MoraMIK,FrolundaFHC,3,0
DjurgardenDIF,FarjestadFBK,2,3
RogleRBK,LuleaLHF,2,3
LinkopingLHC,MalmoMIF,4,3
TimraTIK,OrebroORE,2,1
LuleaLHF,LinkopingLHC,2,1
SkellefteaSKE,MoraMIK,2,0
RogleRBK,HV71HV71,0,1
FrolundaFHC,BrynasBIF,1,0
VaxjoVLH,OrebroORE,3,2
FarjestadFBK,TimraTIK,2,1
FrolundaFHC,RogleRBK,1,2
FarjestadFBK,FrolundaFHC,3,1
MalmoMIF,HV71HV71,2,1
MoraMIK,LinkopingLHC,1,2
BrynasBIF,LuleaLHF,3,4
DjurgardenDIF,OrebroORE,4,1
VaxjoVLH,SkellefteaSKE,4,2
TimraTIK,RogleRBK,4,2
FrolundaFHC,FarjestadFBK,4,1
MoraMIK,MalmoMIF,2,3
OrebroORE,LuleaLHF,2,3
VaxjoVLH,DjurgardenDIF,4,3
LinkopingLHC,RogleRBK,2,3
HV71HV71,BrynasBIF,1,2
TimraTIK,SkellefteaSKE,3,5
